"U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.5,0,0.05
-0.030523,0.00018211,0,0.0077519,0.5,0.0077519,0.05
-0.05894,0.00045514,0,0.015504,0.5,0.015504,0.05
-0.0854,0.00072522,0,0.023256,0.5,0.023256,0.05
-0.11012,0.00086379,0,0.031008,0.5,0.031008,0.05
-0.13335,0.00081452,0,0.03876,0.5,0.03876,0.05
-0.15537,0.00056932,0,0.046512,0.5,0.046512,0.05
-0.17646,0.00015667,0,0.054264,0.5,0.054264,0.05
-0.19688,-0.00036956,0,0.062016,0.5,0.062016,0.05
-0.21678,-0.00094466,0,0.069767,0.5,0.069767,0.05
-0.23626,-0.001504,0,0.077519,0.5,0.077519,0.05
-0.2553,-0.0019911,0,0.085271,0.5,0.085271,0.05
-0.27379,-0.0023623,0,0.093023,0.5,0.093023,0.05
-0.29153,-0.0025883,0,0.10078,0.5,0.10078,0.05
-0.30831,-0.0026532,0,0.10853,0.5,0.10853,0.05
-0.32386,-0.0025529,0,0.11628,0.5,0.11628,0.05
-0.33791,-0.0022924,0,0.12403,0.5,0.12403,0.05
-0.35024,-0.0018843,0,0.13178,0.5,0.13178,0.05
-0.36063,-0.0013467,0,0.13953,0.5,0.13953,0.05
-0.36893,-0.00070178,0,0.14729,0.5,0.14729,0.05
-0.37505,2.4707e-05,0,0.15504,0.5,0.15504,0.05
-0.37895,0.00080507,0,0.16279,0.5,0.16279,0.05
-0.38068,0.0016134,0,0.17054,0.5,0.17054,0.05
-0.38032,0.0024247,0,0.17829,0.5,0.17829,0.05
-0.37804,0.0032161,0,0.18605,0.5,0.18605,0.05
-0.37401,0.0039688,0,0.1938,0.5,0.1938,0.05
-0.36848,0.0046688,0,0.20155,0.5,0.20155,0.05
-0.36168,0.0053069,0,0.2093,0.5,0.2093,0.05
-0.35387,0.0058791,0,0.21705,0.5,0.21705,0.05
-0.34528,0.0063857,0,0.22481,0.5,0.22481,0.05
-0.33614,0.0068312,0,0.23256,0.5,0.23256,0.05
-0.32666,0.0072229,0,0.24031,0.5,0.24031,0.05
-0.317,0.0075707,0,0.24806,0.5,0.24806,0.05
-0.30731,0.0078853,0,0.25581,0.5,0.25581,0.05
-0.29769,0.0081783,0,0.26357,0.5,0.26357,0.05
-0.28822,0.0084609,0,0.27132,0.5,0.27132,0.05
-0.27896,0.0087434,0,0.27907,0.5,0.27907,0.05
-0.26994,0.009035,0,0.28682,0.5,0.28682,0.05
-0.26116,0.0093433,0,0.29457,0.5,0.29457,0.05
-0.25263,0.0096744,0,0.30233,0.5,0.30233,0.05
-0.24433,0.010033,0,0.31008,0.5,0.31008,0.05
-0.23623,0.010422,0,0.31783,0.5,0.31783,0.05
-0.22832,0.010843,0,0.32558,0.5,0.32558,0.05
-0.22056,0.011296,0,0.33333,0.5,0.33333,0.05
-0.21294,0.011782,0,0.34109,0.5,0.34109,0.05
-0.20541,0.012299,0,0.34884,0.5,0.34884,0.05
-0.19796,0.012845,0,0.35659,0.5,0.35659,0.05
-0.19057,0.013418,0,0.36434,0.5,0.36434,0.05
-0.18321,0.014016,0,0.37209,0.5,0.37209,0.05
-0.17588,0.014637,0,0.37984,0.5,0.37984,0.05
-0.16857,0.015278,0,0.3876,0.5,0.3876,0.05
-0.16125,0.015937,0,0.39535,0.5,0.39535,0.05
-0.15394,0.016612,0,0.4031,0.5,0.4031,0.05
-0.14661,0.017301,0,0.41085,0.5,0.41085,0.05
-0.13927,0.018003,0,0.4186,0.5,0.4186,0.05
-0.13192,0.018716,0,0.42636,0.5,0.42636,0.05
-0.12455,0.019437,0,0.43411,0.5,0.43411,0.05
-0.11716,0.020168,0,0.44186,0.5,0.44186,0.05
-0.10976,0.020906,0,0.44961,0.5,0.44961,0.05
-0.10234,0.02165,0,0.45736,0.5,0.45736,0.05
-0.094902,0.0224,0,0.46512,0.5,0.46512,0.05
-0.087447,0.023155,0,0.47287,0.5,0.47287,0.05
-0.079975,0.023915,0,0.48062,0.5,0.48062,0.05
-0.072484,0.024679,0,0.48837,0.5,0.48837,0.05
-0.064976,0.025446,0,0.49612,0.5,0.49612,0.05
-0.05745,0.026216,0,0.50388,0.5,0.50388,0.05
-0.049904,0.026988,0,0.51163,0.5,0.51163,0.05
-0.042338,0.027762,0,0.51938,0.5,0.51938,0.05
-0.034751,0.028537,0,0.52713,0.5,0.52713,0.05
-0.027141,0.029313,0,0.53488,0.5,0.53488,0.05
-0.019508,0.030088,0,0.54264,0.5,0.54264,0.05
-0.011849,0.030863,0,0.55039,0.5,0.55039,0.05
-0.0041623,0.031636,0,0.55814,0.5,0.55814,0.05
0.0035534,0.032407,0,0.56589,0.5,0.56589,0.05
0.011301,0.033174,0,0.57364,0.5,0.57364,0.05
0.019081,0.033938,0,0.5814,0.5,0.5814,0.05
0.026898,0.034696,0,0.58915,0.5,0.58915,0.05
0.034754,0.035447,0,0.5969,0.5,0.5969,0.05
0.042651,0.036192,0,0.60465,0.5,0.60465,0.05
0.050593,0.036928,0,0.6124,0.5,0.6124,0.05
0.058583,0.037655,0,0.62016,0.5,0.62016,0.05
0.066625,0.038371,0,0.62791,0.5,0.62791,0.05
0.074721,0.039075,0,0.63566,0.5,0.63566,0.05
0.082878,0.039766,0,0.64341,0.5,0.64341,0.05
0.091098,0.040442,0,0.65116,0.5,0.65116,0.05
0.099386,0.041103,0,0.65891,0.5,0.65891,0.05
0.10775,0.041746,0,0.66667,0.5,0.66667,0.05
0.11619,0.042372,0,0.67442,0.5,0.67442,0.05
0.12471,0.042978,0,0.68217,0.5,0.68217,0.05
0.13333,0.043562,0,0.68992,0.5,0.68992,0.05
0.14204,0.044124,0,0.69767,0.5,0.69767,0.05
0.15085,0.044662,0,0.70543,0.5,0.70543,0.05
0.15976,0.045174,0,0.71318,0.5,0.71318,0.05
0.16878,0.045659,0,0.72093,0.5,0.72093,0.05
0.17792,0.046115,0,0.72868,0.5,0.72868,0.05
0.18716,0.046539,0,0.73643,0.5,0.73643,0.05
0.19653,0.04693,0,0.74419,0.5,0.74419,0.05
0.206,0.047284,0,0.75194,0.5,0.75194,0.05
0.21557,0.047599,0,0.75969,0.5,0.75969,0.05
0.22525,0.047871,0,0.76744,0.5,0.76744,0.05
0.23501,0.048098,0,0.77519,0.5,0.77519,0.05
0.24485,0.048274,0,0.78295,0.5,0.78295,0.05
0.25473,0.048395,0,0.7907,0.5,0.7907,0.05
0.26463,0.048457,0,0.79845,0.5,0.79845,0.05
0.27454,0.048453,0,0.8062,0.5,0.8062,0.05
0.2844,0.048377,0,0.81395,0.5,0.81395,0.05
0.29417,0.048224,0,0.82171,0.5,0.82171,0.05
0.30382,0.047986,0,0.82946,0.5,0.82946,0.05
0.31328,0.047656,0,0.83721,0.5,0.83721,0.05
0.3225,0.047227,0,0.84496,0.5,0.84496,0.05
0.33142,0.046691,0,0.85271,0.5,0.85271,0.05
0.33997,0.046041,0,0.86047,0.5,0.86047,0.05
0.34809,0.045269,0,0.86822,0.5,0.86822,0.05
0.35573,0.044367,0,0.87597,0.5,0.87597,0.05
0.36283,0.043322,0,0.88372,0.5,0.88372,0.05
0.3694,0.042123,0,0.89147,0.5,0.89147,0.05
0.37548,0.040746,0,0.89922,0.5,0.89922,0.05
0.38128,0.039161,0,0.90698,0.5,0.90698,0.05
0.3872,0.037317,0,0.91473,0.5,0.91473,0.05
0.39404,0.035147,0,0.92248,0.5,0.92248,0.05
0.4031,0.032563,0,0.93023,0.5,0.93023,0.05
0.41644,0.029472,0,0.93798,0.5,0.93798,0.05
0.43688,0.025799,0,0.94574,0.5,0.94574,0.05
0.46805,0.021532,0,0.95349,0.5,0.95349,0.05
0.5139,0.016775,0,0.96124,0.5,0.96124,0.05
0.57798,0.0118,0,0.96899,0.5,0.96899,0.05
0.66215,0.0070568,0,0.97674,0.5,0.97674,0.05
0.76509,0.003147,0,0.9845,0.5,0.9845,0.05
0.88103,0.00079331,0,0.99225,0.5,0.99225,0.05
1,0,0,1,0.5,1,0.05
