"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,2.764e-13,1,0,2,0,0.05
0.059231,4.6043e-17,0,2.7679e-13,1,0.005,2,0.005,0.05
0.11734,1.0063e-16,0,2.7742e-13,1,0.01,2,0.01,0.05
0.17432,1.588e-16,0,2.7801e-13,1,0.015,2,0.015,0.05
0.23018,2.1715e-16,0,2.7848e-13,1,0.02,2,0.02,0.05
0.28491,2.7384e-16,0,2.7898e-13,1,0.025,2,0.025,0.05
0.33814,3.2925e-16,0,2.7967e-13,1,0.03,2,0.03,0.05
0.39025,3.9812e-16,0,2.8024e-13,1,0.035,2,0.035,0.05
0.44124,4.8816e-16,0,2.8074e-13,1,0.04,2,0.04,0.05
0.4911,5.9603e-16,0,2.8115e-13,1,0.045,2,0.045,0.05
0.53983,7.0726e-16,0,2.8142e-13,1,0.05,2,0.05,0.05
0.58707,8.6025e-16,0,2.813e-13,1,0.055,2,0.055,0.05
0.63318,1.0189e-15,0,2.8075e-13,1,0.06,2,0.06,0.05
0.67816,1.1697e-15,0,2.8006e-13,1,0.065,2,0.065,0.05
0.72202,1.313e-15,0,2.7945e-13,1,0.07,2,0.07,0.05
0.76476,1.463e-15,0,2.791e-13,1,0.075,2,0.075,0.05
0.806,1.595e-15,0,2.786e-13,1,0.08,2,0.08,0.05
0.84611,1.7161e-15,0,2.7798e-13,1,0.085,2,0.085,0.05
0.8851,1.8257e-15,0,2.7746e-13,1,0.09,2,0.09,0.05
0.92296,1.9241e-15,0,2.7724e-13,1,0.095,2,0.095,0.05
0.9597,2.0128e-15,0,2.7753e-13,1,0.1,2,0.1,0.05
0.99494,2.0766e-15,0,2.7806e-13,1,0.105,2,0.105,0.05
1.0291,2.1322e-15,0,2.7864e-13,1,0.11,2,0.11,0.05
1.062,2.1749e-15,0,2.7934e-13,1,0.115,2,0.115,0.05
1.0939,2.2091e-15,0,2.8013e-13,1,0.12,2,0.12,0.05
1.1246,2.2479e-15,0,2.8084e-13,1,0.125,2,0.125,0.05
1.1539,2.3167e-15,0,2.8091e-13,1,0.13,2,0.13,0.05
1.182,2.3461e-15,0,2.8071e-13,1,0.135,2,0.135,0.05
1.209,2.3843e-15,0,2.8076e-13,1,0.14,2,0.14,0.05
1.2349,2.461e-15,0,2.8122e-13,1,0.145,2,0.145,0.05
1.2596,2.5872e-15,0,2.8185e-13,1,0.15,2,0.15,0.05
1.2828,2.6744e-15,0,2.8217e-13,1,0.155,2,0.155,0.05
1.305,2.7351e-15,0,2.8273e-13,1,0.16,2,0.16,0.05
1.326,2.7749e-15,0,2.8335e-13,1,0.165,2,0.165,0.05
1.3458,2.8089e-15,0,2.8386e-13,1,0.17,2,0.17,0.05
1.3646,2.8623e-15,0,2.8406e-13,1,0.175,2,0.175,0.05
1.3818,2.9246e-15,0,2.8416e-13,1,0.18,2,0.18,0.05
1.3979,2.9697e-15,0,2.8406e-13,1,0.185,2,0.185,0.05
1.4129,3.0151e-15,0,2.8365e-13,1,0.19,2,0.19,0.05
1.4268,3.0661e-15,0,2.829e-13,1,0.195,2,0.195,0.05
1.4395,3.116e-15,0,2.8191e-13,1,0.2,2,0.2,0.05
1.4508,3.1679e-15,0,2.8071e-13,1,0.205,2,0.205,0.05
1.4609,3.1883e-15,0,2.7942e-13,1,0.21,2,0.21,0.05
1.4699,3.1728e-15,0,2.7828e-13,1,0.215,2,0.215,0.05
1.4778,3.1297e-15,0,2.7729e-13,1,0.22,2,0.22,0.05
1.4845,3.08e-15,0,2.7623e-13,1,0.225,2,0.225,0.05
1.4898,2.9997e-15,0,2.7533e-13,1,0.23,2,0.23,0.05
1.4939,2.9185e-15,0,2.7449e-13,1,0.235,2,0.235,0.05
1.4969,2.8429e-15,0,2.7379e-13,1,0.24,2,0.24,0.05
1.4988,2.7727e-15,0,2.7334e-13,1,0.245,2,0.245,0.05
1.4995,2.701e-15,0,2.7322e-13,1,0.25,2,0.25,0.05
1.4988,2.6321e-15,0,2.7305e-13,1,0.255,2,0.255,0.05
1.4969,2.5633e-15,0,2.7338e-13,1,0.26,2,0.26,0.05
1.4939,2.4956e-15,0,2.7415e-13,1,0.265,2,0.265,0.05
1.4898,2.4346e-15,0,2.7526e-13,1,0.27,2,0.27,0.05
1.4845,2.3904e-15,0,2.7654e-13,1,0.275,2,0.275,0.05
1.4778,2.3519e-15,0,2.7723e-13,1,0.28,2,0.28,0.05
1.4699,2.3103e-15,0,2.7765e-13,1,0.285,2,0.285,0.05
1.4609,2.2921e-15,0,2.7804e-13,1,0.29,2,0.29,0.05
1.4508,2.2949e-15,0,2.783e-13,1,0.295,2,0.295,0.05
1.4395,2.2878e-15,0,2.78e-13,1,0.3,2,0.3,0.05
1.4268,2.2029e-15,0,2.776e-13,1,0.305,2,0.305,0.05
1.4129,2.095e-15,0,2.7783e-13,1,0.31,2,0.31,0.05
1.3979,1.9658e-15,0,2.7814e-13,1,0.315,2,0.315,0.05
1.3818,1.8138e-15,0,2.7821e-13,1,0.32,2,0.32,0.05
1.3646,1.6351e-15,0,2.7789e-13,1,0.325,2,0.325,0.05
1.3458,1.4241e-15,0,2.7759e-13,1,0.33,2,0.33,0.05
1.326,1.2141e-15,0,2.773e-13,1,0.335,2,0.335,0.05
1.305,1.0233e-15,0,2.7705e-13,1,0.34,2,0.34,0.05
1.2828,8.4767e-16,0,2.7687e-13,1,0.345,2,0.345,0.05
1.2596,6.6095e-16,0,2.7683e-13,1,0.35,2,0.35,0.05
1.2349,5.0512e-16,0,2.7749e-13,1,0.355,2,0.355,0.05
1.209,3.782e-16,0,2.7808e-13,1,0.36,2,0.36,0.05
1.182,2.8633e-16,0,2.7825e-13,1,0.365,2,0.365,0.05
1.1539,2.2818e-16,0,2.7799e-13,1,0.37,2,0.37,0.05
1.1246,1.9497e-16,0,2.7762e-13,1,0.375,2,0.375,0.05
1.0939,1.2887e-16,0,2.7672e-13,1,0.38,2,0.38,0.05
1.062,8.2125e-17,0,2.7591e-13,1,0.385,2,0.385,0.05
1.0291,3.73e-17,0,2.7584e-13,1,0.39,2,0.39,0.05
0.99494,5.3922e-18,0,2.7652e-13,1,0.395,2,0.395,0.05
0.9597,2.5802e-17,0,2.7719e-13,1,0.4,2,0.4,0.05
0.92296,8.5936e-17,0,2.7665e-13,1,0.405,2,0.405,0.05
0.8851,8.3916e-17,0,2.7666e-13,1,0.41,2,0.41,0.05
0.84611,9.5955e-17,0,2.7727e-13,1,0.415,2,0.415,0.05
0.806,1.5145e-16,0,2.7814e-13,1,0.42,2,0.42,0.05
0.76476,2.3296e-16,0,2.7847e-13,1,0.425,2,0.425,0.05
0.72202,2.7133e-16,0,2.7771e-13,1,0.43,2,0.43,0.05
0.67816,2.7973e-16,0,2.77e-13,1,0.435,2,0.435,0.05
0.63318,2.6277e-16,0,2.7728e-13,1,0.44,2,0.44,0.05
0.58707,2.3682e-16,0,2.7818e-13,1,0.445,2,0.445,0.05
0.53983,2.2998e-16,0,2.7806e-13,1,0.45,2,0.45,0.05
0.4911,2.0994e-16,0,2.7667e-13,1,0.455,2,0.455,0.05
0.44124,1.9917e-16,0,2.7661e-13,1,0.46,2,0.46,0.05
0.39025,2.1563e-16,0,2.7735e-13,1,0.465,2,0.465,0.05
0.33814,2.5963e-16,0,2.7835e-13,1,0.47,2,0.47,0.05
0.28491,3.1388e-16,0,2.791e-13,1,0.475,2,0.475,0.05
0.23018,3.8068e-16,0,2.7913e-13,1,0.48,2,0.48,0.05
0.17432,4.1553e-16,0,2.781e-13,1,0.485,2,0.485,0.05
0.11734,3.6831e-16,0,2.7606e-13,1,0.49,2,0.49,0.05
0.059231,2.2347e-16,0,2.7366e-13,1,0.495,2,0.495,0.05
0,0,0,2.7219e-13,1,0.5,2,0.5,0.05
